date,daily_temperature_2m_max,daily_snowfall_sum
2024-12-11,,
2024-12-12,,
2024-12-13,,
2024-12-14,,
2024-12-15,,
2024-12-16,,
2024-12-17,,
2024-12-18,,
2024-12-19,,
2024-12-20,,
2024-12-21,,
2024-12-22,,
2024-12-23,,
2024-12-24,,
2024-12-25,14.3025,0.0
2024-12-26,9.4025,0.0
2024-12-27,8.5525,0.0
2024-12-28,10.6025,0.0
2024-12-29,16.6025,0.0
2024-12-30,17.7025,0.0
2024-12-31,21.2025,0.0
2025-01-01,9.752501,0.0
2025-01-02,9.8025,0.0
2025-01-03,11.5525,0.0
2025-01-04,7.3525,0.0
2025-01-05,11.2025,0.0
2025-01-06,13.6025,0.0
2025-01-07,4.7025003,0.0
2025-01-08,2.2524998,0.0
2025-01-09,5.7525,0.0
2025-01-10,0.20250002,6.3700004
2025-01-11,0.5025,0.0
2025-01-12,5.6525,0.0
2025-01-13,10.9025,0.0
2025-01-14,9.4025,0.0
2025-01-15,10.252501,0.0
2025-01-16,13.7025,0.0
2025-01-17,15.3525,0.0
2025-01-18,13.8525,0.0
2025-01-19,12.4025,0.0
2025-01-20,-1.4975,0.0
2025-01-21,-1.9975,0.77
2025-01-22,1.6025001,0.0
2025-01-23,3.7524998,0.0
2025-01-24,7.8525,0.0
2025-01-25,10.252501,0.0
2025-01-26,12.5525,0.0
2025-01-27,9.252501,0.0
2025-01-28,14.0525,0.0
2025-01-29,19.0525,0.0
2025-01-30,21.1025,0.0
2025-01-31,16.7525,0.0
2025-02-01,16.2525,0.0
2025-02-02,19.0025,0.0
2025-02-03,22.7525,0.0
2025-02-04,24.1525,0.0
2025-02-05,22.4525,0.0
2025-02-06,21.1025,0.0
2025-02-07,22.1025,0.0
2025-02-08,22.8525,0.0
2025-02-09,20.6025,0.0
2025-02-10,14.9025,0.0
2025-02-11,10.2025,0.0
2025-02-12,4.8025002,0.0
2025-02-13,14.0525,0.0
2025-02-14,13.0525,0.0
2025-02-15,9.7025,0.0
2025-02-16,15.502501,0.0
2025-02-17,9.1025,0.0
2025-02-18,14.4525,0.0
2025-02-19,7.2525,0.0
2025-02-20,1.1025001,0.0
2025-02-21,8.002501,0.0
2025-02-22,11.4525,0.0
2025-02-23,11.5525,0.0
2025-02-24,19.1025,0.0
2025-02-25,22.6025,0.0
2025-02-26,24.8025,0.0
2025-02-27,21.7525,0.0
2025-02-28,21.0525,0.0
2025-03-01,22.0025,0.0
2025-03-02,12.9525,0.0
2025-03-03,17.8525,0.0
2025-03-04,20.0525,0.0
2025-03-05,17.6525,0.0
2025-03-06,12.0525,0.0
2025-03-07,19.5525,0.0
2025-03-08,22.5025,0.0
2025-03-09,14.4025,0.0
2025-03-10,12.3025,0.0
2025-03-11,23.4525,0.0
2025-03-12,25.0025,0.0
2025-03-13,22.3025,0.0
2025-03-14,22.7025,0.0
2025-03-15,25.416,0.0
2025-03-16,21.216002,0.0
2025-03-17,19.216002,0.0
2025-03-18,23.016,0.0
2025-03-19,21.466002,0.0
2025-03-20,13.016,0.0
2025-03-21,17.716002,0.0
2025-03-22,20.116001,0.0
2025-03-23,21.916,0.0
2025-03-24,19.816,0.0
2025-03-25,15.066,0.0
2025-03-26,22.116001,0.0
2025-03-27,27.266,0.0
2025-03-28,27.566,0.0
